"testname","filesystem","depth.median"
"leveldb_reqscale_w_seq","f2fs",2
"leveldb_reqscale_w_mix","f2fs",2
"leveldb_reqscale_r_seq","f2fs",1
"leveldb_reqscale_r_mix","ext4",1
"leveldb_reqscale_r_seq","xfs",1
"leveldb_reqscale_r_mix","f2fs",1
"leveldb_reqscale_r_rand","f2fs",1
"leveldb_reqscale_w_rand","ext4",1
"leveldb_reqscale_r_seq","ext4",1
"leveldb_reqscale_r_rand","ext4",1
"leveldb_reqscale_r_rand","xfs",1
"leveldb_reqscale_w_rand","xfs",2
"leveldb_reqscale_w_mix","ext4",2
"leveldb_reqscale_w_seq","ext4",3
"leveldb_reqscale_w_seq","xfs",6
"leveldb_reqscale_w_rand","f2fs",1
"leveldb_reqscale_r_mix","xfs",1
"leveldb_reqscale_w_mix","xfs",6
"rocksdb_reqscale_w_mix","xfs",10
"rocksdb_reqscale_r_mix","ext4",1
"rocksdb_reqscale_r_seq","xfs",1
"rocksdb_reqscale_r_rand","f2fs",1
"rocksdb_reqscale_w_mix","ext4",3
"rocksdb_reqscale_w_seq","ext4",3
"rocksdb_reqscale_w_mix","f2fs",2
"rocksdb_reqscale_w_rand","ext4",1
"rocksdb_reqscale_w_rand","f2fs",1
"rocksdb_reqscale_r_mix","f2fs",1
"rocksdb_reqscale_r_seq","f2fs",1
"rocksdb_reqscale_r_rand","xfs",1
"rocksdb_reqscale_r_rand","ext4",1
"rocksdb_reqscale_r_seq","ext4",1
"rocksdb_reqscale_w_seq","f2fs",1
"rocksdb_reqscale_w_seq","xfs",5
"rocksdb_reqscale_r_mix","xfs",1
"rocksdb_reqscale_w_rand","xfs",2
"sqliteWAL_reqscale_r_seq","xfs",1
"sqliteWAL_reqscale_r_rand","xfs",1
"sqliteWAL_reqscale_r_rand","ext4",1
"sqliteWAL_reqscale_r_mix","f2fs",1
"sqliteWAL_reqscale_r_mix","xfs",1
"sqliteWAL_reqscale_w_mix","xfs",1
"sqliteWAL_reqscale_r_mix","ext4",1
"sqliteWAL_reqscale_w_rand","f2fs",1
"sqliteWAL_reqscale_r_rand","f2fs",1
"sqliteWAL_reqscale_w_seq","f2fs",1
"sqliteWAL_reqscale_w_rand","xfs",1
"sqliteWAL_reqscale_w_mix","ext4",1
"sqliteWAL_reqscale_w_rand","ext4",1
"sqliteWAL_reqscale_w_mix","f2fs",1
"sqliteWAL_reqscale_w_seq","xfs",1
"sqliteWAL_reqscale_r_seq","ext4",1
"sqliteWAL_reqscale_r_seq","f2fs",3
"sqliteWAL_reqscale_w_seq","ext4",1
"sqliteRB_reqscale_w_mix","ext4",2
"sqliteRB_reqscale_r_seq","ext4",1
"sqliteRB_reqscale_r_mix","xfs",1
"sqliteRB_reqscale_w_seq","xfs",1
"sqliteRB_reqscale_r_mix","f2fs",1
"sqliteRB_reqscale_w_mix","f2fs",1
"sqliteRB_reqscale_w_rand","xfs",5
"sqliteRB_reqscale_w_seq","f2fs",1
"sqliteRB_reqscale_w_mix","xfs",2
"sqliteRB_reqscale_r_mix","ext4",1
"sqliteRB_reqscale_r_seq","f2fs",11
"sqliteRB_reqscale_w_rand","f2fs",1
"sqliteRB_reqscale_r_seq","xfs",1
"sqliteRB_reqscale_w_rand","ext4",4
"sqliteRB_reqscale_w_seq","ext4",1
"sqliteRB_reqscale_r_rand","xfs",1
"sqliteRB_reqscale_r_rand","f2fs",1
"sqliteRB_reqscale_r_rand","ext4",1
"varmail_reqscale_r_mix","xfs",15
"varmail_reqscale_w_large","ext4",2
"varmail_reqscale_w_large","xfs",3
"varmail_reqscale_w_small","ext4",2
"varmail_reqscale_w_large","f2fs",12
"varmail_reqscale_r_mix","f2fs",13
"varmail_reqscale_w_mix","f2fs",20
"varmail_reqscale_r_small","f2fs",14
"varmail_reqscale_r_small","ext4",14
"varmail_reqscale_w_small","xfs",3
"varmail_reqscale_w_small","f2fs",12
"varmail_reqscale_r_small","xfs",6
"varmail_reqscale_r_large","f2fs",7
"varmail_reqscale_r_mix","ext4",6
"varmail_reqscale_r_large","xfs",14
"varmail_reqscale_w_mix","ext4",3
"varmail_reqscale_w_mix","xfs",4
"varmail_reqscale_r_large","ext4",14
